id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
310,c:10475,0.0,0.0,1990-01-02,NYSE:ABT,,2010-03-10 10:57:24,2013-10-28 03:07:54,1990,1
311,c:43666,0.0,0.0,2010-03-11,NYSE:ST,,2010-03-12 02:45:16,2012-04-11 04:37:43,2010,3
316,c:7650,0.0,0.0,1998-06-26,NYSE:DOX,,2010-03-24 04:52:43,2012-04-16 04:21:31,1998,6
317,c:30687,0.0,0.0,2010-03-01,NYSE:CALX,,2010-03-24 20:16:37,2010-03-24 20:16:55,2010,3
319,c:16192,66600000.0,0.0,2010-03-31,NASDAQ:MERU,,2010-03-31 21:23:55,2010-04-02 21:10:21,2010,3
320,c:26551,25000000.0,0.0,2010-03-31,EPS,,2010-03-31 21:58:11,2010-03-31 21:58:11,2010,3
323,c:18871,0.0,0.0,1998-12-25,NASDAQ:CNQR,,2010-04-08 16:59:05,2012-04-17 04:33:06,1998,12
324,c:46423,350000000.0,0.0,2010-04-16,Molycorp,,2010-04-24 03:48:11,2010-04-24 03:48:11,2010,4
325,c:31253,0.0,0.0,2010-04-29,NASDAQ:CNVO,,2010-04-29 22:20:26,2010-04-29 22:20:26,2010,4
327,c:47042,0.0,0.0,2000-03-08,NASDAQ:DTV,,2010-05-03 22:20:21,2011-11-13 18:44:55,2000,3
330,c:47590,0.0,0.0,2000-07-18,NASDAQ:ENDP,,2010-05-10 03:43:04,2013-03-02 00:27:47,2000,7
334,c:17205,0.0,0.0,2007-07-06,078340,,2010-05-24 01:44:42,2010-05-26 00:57:18,2007,7
338,c:15306,0.0,0.0,1990-06-22,NASDAQ:XLNX,,2010-06-08 01:24:58,2012-04-16 03:09:26,1990,6
342,c:8752,0.0,0.0,1998-06-26,NASDAQ:CTSH,,2010-06-18 02:16:00,2012-04-13 03:36:22,1998,6
343,c:49995,0.0,0.0,2000-07-06,NASDAQ:ARWR,,2010-06-18 04:51:54,2013-10-24 11:58:28,2000,7
